               col0    col1      col2                col3                col4  
              -0.59    33.0     740.0    0.00196873881398     0.0441474764348  
              -0.58    27.0     767.0    0.00161078630235     0.0457582627371  
              -0.57    29.0     796.0    0.00173010380623     0.0474883665434  
              -0.56    42.0     838.0    0.00250566758143     0.0499940341248  
              -0.55    45.0     883.0    0.00268464383725     0.0526786779621  
              -0.54    38.0     921.0    0.00226703257368     0.0549457105357  
              -0.53    40.0     961.0    0.00238635007756     0.0573320606133  
              -0.52    41.0    1002.0     0.0024460088295     0.0597780694428  
              -0.51    59.0    1061.0     0.0035198663644     0.0632979358072  
               -0.5    55.0    1116.0    0.00328123135664     0.0665791671638  
              -0.49    40.0    1156.0    0.00238635007756     0.0689655172414  
              -0.48    41.0    1197.0     0.0024460088295     0.0714115260709  
